path,filename,modified,size,sha256,root
.,0084330.xml,2020-08-08 15:08:23.955893,186.36KB,c5449f54d089e705043c82368059897129f0ee8aa84bf6679ef249437561595b,GCN
.,f10648695.xml,2020-08-07 22:51:56.561578,186.24KB,5995a1c95339785ef8389329cd93f6e9493d4c96560e94e91ff86ace4d407310,GCN
