path,filename,modified,size,sha256,root
locale\en-GB\autoconfig,autoconfig.properties,2005-05-08 00:55:12,0.35KB,333217c3f90c074f1e057c08bf68f99242308e0e6b1f8c25f920609505c77397,0007534
locale\en-GB\cookie,cookieAcceptDialog.dtd,2008-01-04 00:02:54,0.89KB,c448d5f700f9407cf2013f62a620a3a938cf13a8edb3934a089b8e3643c98b47,0007534
locale\en-GB\cookie,cookieAcceptDialog.properties,2008-01-04 00:02:54,0.66KB,ac68ad20119294aa5e3f486b231207101c309ba8d25fb32985222658718e6ade,0007534
locale\en-GB\mozapps\extensions,about.dtd,2008-01-04 00:02:54,0.27KB,18c6e6442bda298eb5383f8e37c628029d22364545c4cc899bf00552d6e59d86,0007534
locale\en-GB\mozapps\extensions,update.dtd,2008-01-04 00:02:54,4.32KB,d125787388c4f0cf2f57709e6c7e42a87cbd93c93b7e7cc70dfbde907a711a0c,0007534
locale\en-GB\mozapps\extensions,update.properties,2008-01-04 00:02:54,0.56KB,1db9eff86ca52f8e28663494baf492fd9f727ba8728b937b22b062a68ff95970,0007534
locale\en-GB\mozapps\handling,handling.dtd,2008-01-04 00:02:54,0.19KB,0ed9221600572fc8535cd8a514dc1b561a085248084dae0d9231bb43e636afff,0007534
locale\en-GB\mozapps\handling,handling.properties,2008-01-09 01:49:56,0.33KB,1f4205550048870f68fc1d91b762ffa8a8eecee005b697485829e566ca85cd1c,0007534
locale\en-GB\mozapps\plugins,plugins.dtd,2008-01-04 00:02:56,1.66KB,2d909327614173f51a9dce327ec4df2ff3783a33c5e654ab28ead95bcbc1ebf8,0007534
locale\en-GB\mozapps\plugins,plugins.properties,2008-04-03 21:53:46,1.13KB,00ca5742c39f4cb11dbdc020ebf1398d8b5afe14c161710008cbd319dbcf785d,0007534
locale\en-GB\mozapps\preferences,changemp.dtd,2005-05-08 00:55:14,0.93KB,287f1e6535ff5317d862b81d1828b9956bc84ad889c8bde333fc2f88e7adefad,0007534
locale\en-GB\mozapps\preferences,ocsp.dtd,2008-01-04 00:02:56,0.87KB,fe6c65bf2c6377ed7e70dcbf2b412ef56235f122f4701e40b399431fb8496e7e,0007534
locale\en-GB\mozapps\preferences,preferences.properties,2008-01-04 00:02:56,0.73KB,37427af32f8874da6feffbd3795aad6f3d27b3e7a71656dee6a1961734021e6e,0007534
locale\en-GB\mozapps\preferences,removemp.dtd,2005-05-08 00:55:14,0.5KB,6ce545a3839386a791beab1b6fc5894f86f83491f1c59d5f6e066180507eea32,0007534
locale\en-GB\mozapps\profile,createProfileWizard.dtd,2008-01-04 00:02:56,1.84KB,4081b0c2dfb4fb133f4b1ce4daa5dc53e7762405d354f05cb146a37f63e134db,0007534
locale\en-GB\mozapps\profile,profileSelection.dtd,2008-01-04 00:02:56,2.79KB,8e4cae6567e069c283c9488178c66f30fc7798cf632b50268803b958533a1538,0007534
locale\en-GB\mozapps\profile,profileSelection.properties,2008-01-04 00:02:56,2.06KB,4c377cb54d380a9de3dfb570bf9f89e995583789f683ff0f2fdef5c04efddf29,0007534
